day_number,AN1_50S_WS_Avg,AN2_50N_WS_Avg,AN3_30S_WS_Avg,AN4_10S_WS_Avg,AN1_50S_WS_Std,AN2_50N_WS_Std,AN3_30S_WS_Std,AN4_10S_WS_Std,AN1_50S_WS_3SA_Max,AN2_50N_WS_3SA_Max,AN3_30S_WS_3SA_Max,AN4_10S_WS_3SA_Max,WV1_48N_WD_AVG,WV1_48N_WV_STD,WV2_28N_WD_AVG,WV2_28N_WV_STD,WV3_8N_WD_AVG,WV3_8N_WV_STD,ANx_80_WS_min_Avg,ANx_80_WS_Avg,ANx_80_WS_max_Avg,TRH1_50_TMP_Avg,TRH1_50_RH_Avg,TRH2_10_RH_Avg,BAR1_50_PRES_Avg,BAR2_10_PRES_Avg
22,4.269416666666666,4.200645833333334,4.160770833333333,3.9028958333333335,0.2521875,0.26510416666666664,0.2586458333333333,0.2992916666666667,4.8261666666666665,4.787645833333333,4.7905625,4.6140625,197.72708333333333,3.619291666666667,199.12708333333333,4.213104166666667,219.95833333333334,5.202958333333333,2.9975625000000004,4.4205625,5.9926666666666675,11.412854166666667,86.28416666666668,91.24520833333334,1027.2708333333333,1031.6875
23,4.70836170212766,4.560957446808511,4.780340425531915,4.563382978723404,0.3695744680851064,0.41804255319148936,0.36295744680851066,0.4411489361702128,5.56027659574468,5.4910212765957445,5.614978723404255,5.580723404255319,209.24534042553194,6.02031914893617,217.99729787234043,5.7842553191489365,220.36968085106383,9.147234042553192,3.457340425531915,4.861808510638298,7.311063829787234,11.088723404255319,86.7668085106383,93.01510638297873,1018.8085106382979,1023.2765957446809
24,2.3945833333333333,2.3662083333333332,2.432729166666667,2.4613125,0.3434791666666666,0.3552916666666666,0.3550416666666667,0.3970208333333333,3.2751041666666665,3.251375,3.2953125,3.4896041666666666,189.07916666666665,13.522583333333335,189.65708333333336,13.621520833333333,191.6925,14.528416666666667,1.6130208333333333,2.4485,3.5748541666666664,9.854375,90.45625,89.04458333333334,1009.6041666666666,1014.0833333333334
25,3.206375,3.1422708333333333,3.079083333333333,2.8809791666666666,0.32002083333333337,0.3185,0.321375,0.3603541666666667,3.94975,3.878833333333333,3.8306875,3.7776041666666664,151.71945833333334,8.276020833333334,153.3935,8.751104166666666,168.84458333333333,11.734124999999999,2.3169166666666667,3.3441875000000003,4.594791666666667,10.047083333333333,81.88541666666667,82.02333333333333,1006.625,1011.2291666666666
26,7.623395833333333,7.514187499999999,7.486166666666667,6.992770833333334,0.5829583333333334,0.5810208333333333,0.5806041666666667,0.6546041666666667,9.124645833333334,9.041291666666666,8.986875,8.583145833333333,123.71666666666665,4.824541666666667,125.28750000000001,4.595791666666667,138.2875,5.408916666666666,6.047583333333333,7.902520833333334,9.771916666666668,13.562916666666666,89.70208333333333,89.77083333333333,996.875,1001.3333333333334
27,5.320895833333333,5.262395833333334,5.372062499999999,4.832541666666667,0.45091666666666663,0.4420625,0.4229583333333333,0.43785416666666666,6.459166666666667,6.372604166666666,6.439791666666667,5.896208333333334,121.05125,5.296145833333333,119.31770833333333,4.905729166666666,126.83854166666667,4.9626875,3.7956875,5.6234166666666665,7.602125,15.646666666666667,92.53125,95.27499999999999,990.75,994.9375
28,6.547625,6.616041666666667,6.3748125,5.795208333333334,0.5491458333333333,0.5389791666666667,0.5579583333333333,0.7695416666666667,7.940541666666667,8.012583333333334,7.797854166666667,7.5455625,269.30104166666666,4.876708333333333,267.47020833333335,4.485145833333333,256.9412291666667,10.934416666666666,4.611125,6.946604166666667,9.370458333333334,12.285625000000001,94.86666666666667,94.85625,999.0833333333334,1003.6041666666666
29,4.580291666666667,4.562583333333333,4.280770833333333,4.126166666666667,0.35312499999999997,0.37935416666666666,0.3574583333333334,0.3658333333333333,5.439166666666666,5.462229166666667,5.180208333333334,5.000708333333333,195.55229166666666,5.121729166666666,195.756875,6.117708333333333,211.83020833333333,8.214291666666666,2.9066875,4.723604166666667,6.667270833333333,10.689104166666667,82.04958333333333,84.61395833333333,1012.3958333333334,1016.8541666666666
30,3.4193541666666665,3.343583333333333,3.3354166666666667,3.3179166666666666,0.23445833333333332,0.24864583333333334,0.246,0.25766666666666665,3.9790625,3.9313125,3.9083958333333335,3.9355625,177.65708333333336,4.370541666666667,183.02833333333334,4.759104166666667,203.85125000000002,5.471395833333333,2.2073541666666667,3.4508541666666663,4.9189375,10.909979166666666,85.554375,90.81875000000001,1016.0625,1020.4375
31,3.51375,3.4233541666666665,3.408041666666667,3.2863124999999997,0.27214583333333336,0.27487500000000004,0.2776458333333333,0.28291666666666665,4.1704375,4.078354166666666,4.1060625,4.007854166666667,153.85729166666667,4.7235625,159.20875,4.888395833333333,178.59395833333335,6.571645833333332,2.4608125,3.5918333333333337,4.893645833333333,11.576458333333333,86.336875,88.27229166666666,1016.4166666666666,1020.75
